OrderDate,Region,Category,SubCategory,Segment,Quantity,Sales,Profit,Discount,Month,ProfitMargin
2023-08-03,North America,Furniture,Chairs,Consumer,2,694.77,117.04,0.0,2023-08-01,0.16845862659585187
2024-04-09,North America,Technology,Machines,Consumer,3,1051.61,272.7,0.0,2024-04-01,0.2593166668251538
2023-07-31,Latin America,Furniture,Chairs,Consumer,1,124.52,25.21,0.0,2023-07-01,0.2024574365563765
2023-12-08,North America,Office Supplies,Art,Consumer,1,39.27,15.48,0.0,2023-12-01,0.3941940412528648
2023-06-30,North America,Office Supplies,Art,Corporate,3,157.35,61.98,0.0,2023-06-01,0.3938989513822688
2023-03-07,North America,Furniture,Chairs,Consumer,1,332.59,2.98,0.1,2023-03-01,0.008959980757088308
2024-05-17,North America,Technology,Copiers,Corporate,3,961.93,-57.17,0.2,2024-05-01,-0.05943259904566861
2023-07-01,Europe,Office Supplies,Art,Home Office,4,119.28,49.14,0.0,2023-07-01,0.4119718309859155
2023-03-24,North America,Office Supplies,Storage,Consumer,3,134.31,51.6,0.0,2023-03-01,0.3841858387312933
2024-05-28,Asia Pacific,Technology,Phones,Corporate,5,2038.67,205.1,0.1,2024-05-01,0.1006048060745486
2024-07-21,Asia Pacific,Furniture,Chairs,Consumer,1,270.07,83.69,0.0,2024-07-01,0.30988262302366054
2024-02-27,North America,Technology,Accessories,Home Office,2,387.1,86.21,0.0,2024-02-01,0.2227073107724102
2023-11-23,North America,Technology,Accessories,Home Office,2,1486.04,462.59,0.0,2023-11-01,0.31129040941024466
2024-09-05,Asia Pacific,Office Supplies,Paper,Consumer,3,171.46,36.59,0.1,2024-09-01,0.21340254286714103
2024-06-08,Europe,Office Supplies,Art,Consumer,2,95.79,33.39,0.0,2024-06-01,0.3485750078296273
2024-07-18,Europe,Technology,Copiers,Consumer,1,347.59,70.18,0.0,2024-07-01,0.20190454270836333
2023-09-08,Asia Pacific,Technology,Machines,Consumer,2,1058.61,42.13,0.15,2023-09-01,0.039797470267615084
2024-11-25,North America,Technology,Accessories,Home Office,1,488.08,171.74,0.0,2024-11-01,0.3518685461399771
2023-11-30,Middle East & Africa,Office Supplies,Binders,Corporate,2,121.32,65.39,0.0,2023-11-01,0.5389878008572371
2024-02-22,Europe,Office Supplies,Storage,Home Office,2,86.46,34.06,0.0,2024-02-01,0.393939393939394
2024-07-16,North America,Technology,Phones,Consumer,3,822.99,211.57,0.0,2024-07-01,0.2570748125736643
2024-03-03,North America,Furniture,Furnishings,Consumer,2,397.65,93.03,0.0,2024-03-01,0.23394945303658998
2023-01-07,Middle East & Africa,Office Supplies,Paper,Consumer,1,39.83,14.93,0.0,2023-01-01,0.37484308310318853
2023-08-09,Latin America,Technology,Copiers,Home Office,1,234.59,75.6,0.0,2023-08-01,0.3222643761456157
2023-06-12,North America,Technology,Accessories,Corporate,2,716.51,175.12,0.0,2023-06-01,0.2444069168608952
2023-03-19,Asia Pacific,Technology,Copiers,Consumer,1,422.11,5.33,0.15,2023-03-01,0.012627040344933785
2023-02-01,Middle East & Africa,Furniture,Chairs,Home Office,1,203.72,-28.03,0.2,2023-02-01,-0.13759081091694483
2024-04-20,Europe,Office Supplies,Paper,Corporate,4,236.83,68.25,0.1,2024-04-01,0.2881813959380146
2023-09-01,North America,Technology,Phones,Home Office,2,715.8,180.03,0.0,2023-09-01,0.2515088013411568
2023-10-15,Europe,Furniture,Bookcases,Consumer,3,992.54,-401.5,0.4,2023-10-01,-0.4045177020573478
2023-09-30,North America,Office Supplies,Storage,Consumer,4,171.85,69.52,0.0,2023-09-01,0.40453884201338375
2023-02-22,Europe,Office Supplies,Paper,Consumer,1,36.36,1.96,0.15,2023-02-01,0.0539053905390539
2024-09-05,Middle East & Africa,Office Supplies,Binders,Consumer,5,163.63,35.98,0.1,2024-09-01,0.21988632891279103
2024-04-10,North America,Technology,Copiers,Consumer,2,694.24,-383.77,0.5,2024-04-01,-0.5527915418299147
2024-10-03,Europe,Furniture,Chairs,Consumer,2,514.79,-159.58,0.3,2024-10-01,-0.30999048155558584
2023-10-30,Europe,Office Supplies,Storage,Corporate,3,139.46,54.6,0.0,2023-10-01,0.3915101104259286
2023-03-08,Latin America,Furniture,Bookcases,Consumer,3,655.47,15.42,0.15,2023-03-01,0.023525104123758522
2023-09-22,Europe,Technology,Copiers,Consumer,3,1424.27,151.74,0.1,2023-09-01,0.10653878829154585
2023-08-30,Asia Pacific,Office Supplies,Paper,Consumer,3,120.13,49.67,0.0,2023-08-01,0.4134687421959544
2023-04-06,Asia Pacific,Furniture,Bookcases,Consumer,5,1000.0,-152.25,0.2,2023-04-01,-0.15225
2024-10-29,North America,Office Supplies,Storage,Consumer,3,128.23,-10.2,0.3,2024-10-01,-0.07954456835373938
2024-12-03,Asia Pacific,Technology,Accessories,Corporate,3,1650.32,527.08,0.0,2024-12-01,0.319380483784963
2024-01-15,Asia Pacific,Furniture,Tables,Consumer,2,672.57,175.06,0.0,2024-01-01,0.2602851747773466
2024-09-11,Europe,Office Supplies,Art,Consumer,3,87.98,31.07,0.0,2024-09-01,0.3531484428279154
2024-11-28,Latin America,Technology,Copiers,Corporate,2,1144.29,218.71,0.0,2024-11-01,0.1911316187330135
2024-05-26,Asia Pacific,Office Supplies,Binders,Consumer,3,113.55,40.56,0.0,2024-05-01,0.3571994715984148
2023-08-01,North America,Furniture,Furnishings,Consumer,3,1129.35,237.34,0.0,2023-08-01,0.21015628458848012
2024-03-18,Europe,Technology,Phones,Consumer,3,1641.29,115.99,0.1,2024-03-01,0.07067002175118352
2023-07-31,North America,Furniture,Furnishings,Corporate,3,837.6,-75.3,0.15,2023-07-01,-0.08989971346704871
2024-06-03,North America,Office Supplies,Art,Corporate,3,164.93,17.68,0.15,2024-06-01,0.10719699266355423
2023-01-18,Europe,Furniture,Furnishings,Corporate,4,1434.69,359.68,0.0,2023-01-01,0.25070224229624516
2023-06-03,Asia Pacific,Office Supplies,Binders,Corporate,1,31.76,13.4,0.0,2023-06-01,0.42191435768261965
2023-06-21,Latin America,Office Supplies,Storage,Home Office,3,135.65,49.1,0.0,2023-06-01,0.3619609288610394
2023-08-14,North America,Furniture,Bookcases,Consumer,1,229.36,47.36,0.0,2023-08-01,0.2064876177188699
2024-06-29,North America,Furniture,Furnishings,Home Office,1,242.19,-7.49,0.2,2024-06-01,-0.030926132375407738
2023-11-06,Asia Pacific,Office Supplies,Paper,Corporate,2,116.15,30.67,0.0,2023-11-01,0.26405510116229014
2023-10-28,North America,Technology,Phones,Consumer,3,986.69,307.36,0.0,2023-10-01,0.3115061468140956
2023-02-14,Middle East & Africa,Furniture,Tables,Corporate,4,826.19,-21.77,0.2,2023-02-01,-0.026349871095026567
2024-11-29,North America,Furniture,Furnishings,Corporate,2,337.38,5.72,0.1,2024-11-01,0.01695417629972138
2023-10-08,Asia Pacific,Furniture,Furnishings,Consumer,1,83.04,14.13,0.0,2023-10-01,0.17015895953757226
2023-07-09,Latin America,Office Supplies,Art,Consumer,3,151.29,63.95,0.0,2023-07-01,0.42269812942031865
2024-04-12,North America,Furniture,Bookcases,Consumer,2,563.94,120.09,0.0,2024-04-01,0.2129481859772316
2023-03-11,Europe,Technology,Machines,Consumer,5,3203.72,684.55,0.0,2023-03-01,0.21367347957998825
2023-01-20,North America,Furniture,Chairs,Consumer,3,701.43,-93.79,0.2,2023-01-01,-0.13371255863022685
2023-09-09,North America,Office Supplies,Paper,Consumer,4,126.64,-17.18,0.3,2023-09-01,-0.13566013897662665
2024-05-26,North America,Furniture,Chairs,Corporate,1,357.7,15.93,0.15,2024-05-01,0.04453452613922281
2024-05-20,Middle East & Africa,Furniture,Bookcases,Consumer,4,786.2,69.43,0.1,2024-05-01,0.08831086237598576
2024-11-07,Middle East & Africa,Office Supplies,Binders,Consumer,1,59.76,20.34,0.0,2024-11-01,0.34036144578313254
2023-12-10,Europe,Furniture,Chairs,Consumer,4,941.84,182.2,0.0,2023-12-01,0.1934511169625414
2023-11-18,Asia Pacific,Technology,Machines,Home Office,2,500.55,168.1,0.0,2023-11-01,0.33583058635500945
2023-10-08,Asia Pacific,Office Supplies,Paper,Consumer,4,157.84,56.17,0.0,2023-10-01,0.35586670045615815
2024-01-01,Europe,Furniture,Bookcases,Corporate,2,465.39,-31.13,0.2,2024-01-01,-0.06689013515546101
2023-05-13,Asia Pacific,Furniture,Bookcases,Home Office,2,556.8,34.06,0.1,2023-05-01,0.061170977011494265
2024-03-26,Asia Pacific,Office Supplies,Binders,Consumer,4,38.45,16.14,0.0,2024-03-01,0.4197659297789337
2023-11-27,Latin America,Office Supplies,Binders,Home Office,6,448.39,160.54,0.0,2023-11-01,0.3580365306987221
2023-11-14,Europe,Office Supplies,Art,Home Office,1,44.57,14.79,0.0,2023-11-01,0.33183755889611843
2024-12-04,Europe,Furniture,Furnishings,Corporate,4,1223.37,-770.51,0.5,2024-12-01,-0.6298258090356965
2024-10-27,Europe,Office Supplies,Paper,Consumer,4,122.19,49.89,0.0,2024-10-01,0.40829855143628774
2024-06-17,North America,Office Supplies,Art,Consumer,4,126.25,17.53,0.15,2024-06-01,0.13885148514851486
2024-07-31,North America,Office Supplies,Storage,Corporate,1,42.09,12.04,0.0,2024-07-01,0.2860536944642432
2023-05-16,Middle East & Africa,Office Supplies,Binders,Corporate,5,227.56,62.7,0.15,2023-05-01,0.27553172789593955
2024-10-08,Europe,Office Supplies,Storage,Consumer,2,48.03,-11.7,0.4,2024-10-01,-0.24359775140537163
2023-05-29,North America,Technology,Accessories,Consumer,3,624.54,184.92,0.0,2023-05-01,0.2960899221827265
2023-01-04,North America,Office Supplies,Art,Home Office,2,72.89,31.04,0.0,2023-01-01,0.4258471669639182
2023-05-06,North America,Furniture,Furnishings,Consumer,1,355.27,-18.48,0.2,2023-05-01,-0.052016775973203484
2024-01-31,Middle East & Africa,Technology,Copiers,Home Office,2,844.11,91.89,0.1,2024-01-01,0.10886021963962043
2024-12-06,Middle East & Africa,Technology,Copiers,Consumer,2,1038.49,274.9,0.0,2024-12-01,0.26471126346907525
2023-03-25,North America,Technology,Phones,Consumer,1,576.49,163.21,0.0,2023-03-01,0.2831098544640844
2024-09-20,Middle East & Africa,Furniture,Chairs,Corporate,3,379.92,77.43,0.0,2024-09-01,0.20380606443461782
2023-09-17,North America,Furniture,Chairs,Corporate,3,907.27,77.72,0.1,2023-09-01,0.08566358415907062
2024-01-06,Asia Pacific,Technology,Copiers,Home Office,5,1333.31,413.03,0.0,2024-01-01,0.30977792111361946
2024-03-29,Europe,Technology,Copiers,Corporate,3,1660.84,-42.47,0.15,2024-03-01,-0.025571397606030683
2023-04-29,North America,Technology,Machines,Consumer,2,512.89,91.41,0.0,2023-04-01,0.17822535046501198
2024-01-24,Europe,Office Supplies,Storage,Home Office,1,55.69,22.17,0.0,2024-01-01,0.39809660621296467
2024-06-20,North America,Office Supplies,Storage,Consumer,6,385.93,-50.04,0.3,2024-06-01,-0.12966081931956572
2024-06-08,Latin America,Office Supplies,Binders,Corporate,5,204.87,13.22,0.2,2024-06-01,0.064528725533265
2023-08-09,Asia Pacific,Technology,Machines,Home Office,1,427.91,-24.81,0.2,2023-08-01,-0.05797948166670561
2023-02-03,Europe,Furniture,Bookcases,Corporate,3,844.31,-44.77,0.1,2023-02-01,-0.05302554748848173
2023-06-14,North America,Furniture,Furnishings,Home Office,2,878.38,217.98,0.0,2023-06-01,0.24816138800974522
2023-05-19,Asia Pacific,Technology,Copiers,Consumer,4,789.56,212.34,0.0,2023-05-01,0.26893459648411777
2023-07-01,North America,Office Supplies,Paper,Corporate,2,52.38,0.13,0.2,2023-07-01,0.0024818633066055746
2023-03-21,Europe,Technology,Copiers,Consumer,4,1695.71,483.17,0.0,2023-03-01,0.28493669318456577
2024-06-09,Asia Pacific,Office Supplies,Binders,Consumer,3,157.32,44.07,0.0,2024-06-01,0.2801296720061022
2024-10-20,Asia Pacific,Technology,Phones,Consumer,2,227.01,-153.79,0.5,2024-10-01,-0.677459142769041
2023-11-19,Latin America,Technology,Copiers,Consumer,4,2072.56,602.83,0.0,2023-11-01,0.2908625082024164
2023-12-26,Asia Pacific,Office Supplies,Paper,Home Office,6,224.21,-5.46,0.2,2023-12-01,-0.024352169840774273
2024-07-17,Latin America,Technology,Copiers,Consumer,3,1189.81,104.9,0.1,2024-07-01,0.08816533732276582
2023-11-12,Europe,Office Supplies,Paper,Consumer,1,40.7,-11.33,0.4,2023-11-01,-0.27837837837837837
2023-02-13,Asia Pacific,Furniture,Furnishings,Consumer,4,743.14,-188.02,0.3,2023-02-01,-0.2530075086793875
2023-08-07,Latin America,Furniture,Bookcases,Consumer,1,264.18,37.16,0.0,2023-08-01,0.14066167007343477
2024-05-26,Asia Pacific,Technology,Machines,Consumer,1,212.1,66.06,0.0,2024-05-01,0.31145685997171146
2023-09-23,North America,Furniture,Furnishings,Corporate,3,565.44,78.57,0.0,2023-09-01,0.13895373514431236
2023-04-25,North America,Furniture,Tables,Consumer,1,124.73,2.93,0.1,2023-04-01,0.023490739998396536
2023-04-09,Europe,Office Supplies,Art,Home Office,5,122.45,24.08,0.15,2023-04-01,0.19665169456921192
2023-10-30,North America,Furniture,Tables,Consumer,3,765.2,-213.64,0.3,2023-10-01,-0.2791949817041296
2024-04-10,North America,Office Supplies,Paper,Consumer,1,47.45,13.82,0.0,2024-04-01,0.2912539515279241
2024-04-07,North America,Furniture,Tables,Corporate,4,1347.91,-274.16,0.3,2024-04-01,-0.20339636919378892
2023-07-01,North America,Furniture,Furnishings,Home Office,1,190.65,-3.98,0.15,2023-07-01,-0.02087595069499082
2023-03-31,Middle East & Africa,Technology,Copiers,Consumer,3,1034.87,46.73,0.15,2023-03-01,0.04515543015064694
2023-04-28,North America,Furniture,Bookcases,Consumer,3,707.94,36.15,0.1,2023-04-01,0.051063649461818794
2024-08-31,Middle East & Africa,Office Supplies,Art,Corporate,2,73.38,29.31,0.0,2024-08-01,0.39942763695829925
2023-11-28,Asia Pacific,Technology,Copiers,Home Office,1,531.2,169.76,0.0,2023-11-01,0.319578313253012
2023-06-12,Europe,Technology,Phones,Consumer,1,380.64,-142.07,0.4,2023-06-01,-0.37323980664144596
2024-07-24,Asia Pacific,Office Supplies,Paper,Corporate,3,98.46,30.03,0.0,2024-07-01,0.3049969530773919
2024-11-01,Asia Pacific,Office Supplies,Storage,Consumer,3,141.22,52.66,0.0,2024-11-01,0.3728933578813199
2023-11-01,North America,Technology,Copiers,Consumer,1,448.43,125.79,0.0,2023-11-01,0.2805120085632094
2023-10-27,North America,Furniture,Furnishings,Consumer,1,203.72,-11.46,0.1,2023-10-01,-0.05625368152365993
2024-11-09,Europe,Office Supplies,Storage,Corporate,4,212.13,-11.41,0.2,2024-11-01,-0.05378777164946024
2024-12-11,North America,Technology,Accessories,Home Office,2,898.19,173.42,0.0,2024-12-01,0.1930771885681203
2023-04-08,North America,Furniture,Chairs,Home Office,4,1003.14,-126.86,0.2,2023-04-01,-0.12646290647367267
2023-03-04,Asia Pacific,Technology,Copiers,Corporate,2,376.43,115.09,0.0,2023-03-01,0.3057407751773238
2023-05-03,North America,Technology,Machines,Consumer,2,1118.4,-140.46,0.2,2023-05-01,-0.1255901287553648
2024-11-27,Latin America,Furniture,Bookcases,Corporate,2,930.15,-47.39,0.15,2024-11-01,-0.05094877170348869
2023-03-23,Asia Pacific,Office Supplies,Paper,Corporate,5,353.35,78.98,0.1,2023-03-01,0.22351775859629264
2023-08-28,Asia Pacific,Technology,Accessories,Consumer,1,360.81,109.0,0.0,2023-08-01,0.3020980571491921
2023-08-30,Asia Pacific,Furniture,Tables,Home Office,2,512.6,156.5,0.0,2023-08-01,0.3053062817011315
2023-03-02,Middle East & Africa,Office Supplies,Storage,Corporate,1,60.47,23.27,0.0,2023-03-01,0.3848189184719696
2024-05-03,Middle East & Africa,Office Supplies,Paper,Consumer,4,70.85,30.52,0.0,2024-05-01,0.4307692307692308
2023-04-16,North America,Office Supplies,Binders,Corporate,1,34.91,7.42,0.1,2023-04-01,0.21254654826697222
2023-03-19,North America,Office Supplies,Art,Consumer,2,66.99,2.94,0.15,2023-03-01,0.0438871473354232
2023-07-02,Europe,Technology,Copiers,Home Office,1,129.23,33.55,0.0,2023-07-01,0.25961464056333666
2024-05-13,Asia Pacific,Technology,Machines,Home Office,3,1004.85,-21.64,0.2,2024-05-01,-0.021535552570035327
2023-08-24,Europe,Technology,Phones,Consumer,4,2173.09,-1198.08,0.5,2023-08-01,-0.5513255318463569
2024-03-01,North America,Office Supplies,Art,Corporate,3,121.84,25.23,0.1,2024-03-01,0.20707485226526592
2024-05-11,Europe,Office Supplies,Storage,Consumer,4,76.15,21.18,0.0,2024-05-01,0.27813525935653316
2023-03-18,Europe,Furniture,Furnishings,Consumer,2,540.47,137.07,0.0,2023-03-01,0.2536125964438359
2023-01-08,Asia Pacific,Furniture,Chairs,Home Office,3,383.3,63.54,0.0,2023-01-01,0.16577093660318287
2023-10-07,Latin America,Technology,Phones,Consumer,2,926.38,103.55,0.1,2023-10-01,0.11177918348841728
2024-10-17,Asia Pacific,Technology,Phones,Corporate,1,136.82,47.95,0.0,2024-10-01,0.35046045899722267
2024-07-18,North America,Furniture,Tables,Consumer,2,569.53,132.89,0.0,2024-07-01,0.2333327480554141
2023-07-01,Asia Pacific,Technology,Accessories,Corporate,4,1195.48,-9.33,0.1,2023-07-01,-0.0078043965603774215
2023-05-11,North America,Office Supplies,Binders,Consumer,2,47.63,-2.21,0.3,2023-05-01,-0.04639932815452446
